SITE,DATE,EffTP,MDL
NOLAND,2011-05-19,0.23,FALSE
NOLAND,2011-05-22,0.15,FALSE
NOLAND,2011-05-23,0.11,FALSE
NOLAND,2011-05-24,0.27,FALSE
NOLAND,2011-05-25,0.21,FALSE
NOLAND,2011-05-26,0.23,FALSE
NOLAND,2011-05-29,0.2,FALSE
NOLAND,2011-05-30,0.22,FALSE
NOLAND,2011-06-01,0.3,FALSE
NOLAND,2011-06-02,0.74,FALSE
NOLAND,2011-06-03,0.81,FALSE
NOLAND,2011-06-05,0.29,FALSE
NOLAND,2011-06-06,0.23,FALSE
NOLAND,2011-06-07,0.21,FALSE
NOLAND,2011-06-08,0.19,FALSE
NOLAND,2011-06-09,0.19,FALSE
NOLAND,2011-06-12,0.22,FALSE
NOLAND,2011-06-13,0.33,FALSE
NOLAND,2011-06-14,0.32,FALSE
NOLAND,2011-06-15,0.4,FALSE
NOLAND,2011-06-16,0.27,FALSE
NOLAND,2011-06-19,0.11,FALSE
NOLAND,2011-06-20,0.21,FALSE
NOLAND,2011-06-21,0.13,FALSE
NOLAND,2011-06-22,0.2,FALSE
NOLAND,2011-06-23,0.09,FALSE
NOLAND,2011-06-26,0.11,FALSE
NOLAND,2011-06-27,0.08,FALSE
NOLAND,2011-06-28,0.12,FALSE
NOLAND,2011-06-29,0.15,FALSE
NOLAND,2011-07-01,0.25,FALSE
NOLAND,2011-07-03,0.48,FALSE
NOLAND,2011-07-04,0.48,FALSE
NOLAND,2011-07-05,0.44,FALSE
NOLAND,2011-07-06,0.2,FALSE
NOLAND,2011-07-07,0.31,FALSE
NOLAND,2011-07-11,0.46,FALSE
NOLAND,2011-07-12,0.38,FALSE
NOLAND,2011-07-13,0.3,FALSE
NOLAND,2011-07-14,0.27,FALSE
NOLAND,2011-07-15,0.22,FALSE
NOLAND,2011-07-17,0.07,FALSE
NOLAND,2011-07-18,0.06,FALSE
NOLAND,2011-07-19,0.24,FALSE
NOLAND,2011-07-20,0.12,FALSE
NOLAND,2011-07-21,0.12,FALSE
NOLAND,2011-07-24,0.08,FALSE
NOLAND,2011-07-25,0.09,FALSE
NOLAND,2011-07-26,0.1,FALSE
NOLAND,2011-07-27,0.16,FALSE
NOLAND,2011-07-28,0.17,FALSE
NOLAND,2011-07-31,0.22,FALSE
NOLAND,2011-08-01,0.29,FALSE
NOLAND,2011-08-02,0.47,FALSE
NOLAND,2011-08-03,0.52,FALSE
NOLAND,2011-08-04,0.3,FALSE
NOLAND,2011-08-15,0.28,FALSE
NOLAND,2011-08-16,0.28,FALSE
NOLAND,2011-08-17,0.15,FALSE
NOLAND,2011-08-18,0.14,FALSE
NOLAND,2011-08-19,0.14,FALSE
NOLAND,2011-08-22,0.21,FALSE
NOLAND,2011-08-23,0.13,FALSE
NOLAND,2011-08-25,0.15,FALSE
NOLAND,2011-08-26,0.13,FALSE
NOLAND,2011-08-27,0.06,FALSE
NOLAND,2011-08-28,0.06,FALSE
NOLAND,2011-08-29,0.03,FALSE
NOLAND,2011-08-30,0.17,FALSE
NOLAND,2011-08-31,0.33,FALSE
NOLAND,2011-09-01,0.2,FALSE
