Site,Date,Flow
Richland Creek,2010-10-29,5.8
Richland Creek,2010-10-30,5.4
Richland Creek,2010-10-31,5.2
Richland Creek,2010-11-01,5.2
Richland Creek,2010-11-02,5.2
Richland Creek,2010-11-03,4.7
Richland Creek,2010-11-04,4.6
Richland Creek,2010-11-05,4.6
Richland Creek,2010-11-06,4.6
Richland Creek,2010-11-07,4.2
Richland Creek,2010-11-08,4.2
Richland Creek,2010-11-09,4.2
Richland Creek,2010-11-10,4.1
Richland Creek,2010-11-11,4.3
Richland Creek,2010-11-12,4.7
Richland Creek,2010-11-13,4.9
Richland Creek,2010-11-14,4.8
Richland Creek,2010-11-15,4.8
Richland Creek,2010-11-16,5.1
Richland Creek,2010-11-17,5.1
Richland Creek,2010-11-18,4.7
Richland Creek,2010-11-19,4.8
Richland Creek,2010-11-20,4.4
Richland Creek,2010-11-21,4
Richland Creek,2010-11-22,3.6
Richland Creek,2010-11-23,4.2
Richland Creek,2010-11-24,3.7
Richland Creek,2010-11-25,11
Richland Creek,2010-11-26,19
Richland Creek,2010-11-27,25
Richland Creek,2010-11-28,26
Richland Creek,2010-11-29,23
Richland Creek,2010-11-30,21
Richland Creek,2010-12-01,18
Richland Creek,2010-12-02,16
Richland Creek,2010-12-03,15
Richland Creek,2010-12-04,14
Richland Creek,2010-12-05,13
Richland Creek,2010-12-06,11
Richland Creek,2010-12-07,9.8
Richland Creek,2010-12-08,8.8
Richland Creek,2010-12-09,8
Richland Creek,2010-12-10,7.1
Richland Creek,2010-12-11,6.5
Richland Creek,2010-12-12,5.9
Richland Creek,2010-12-13,5.6
Richland Creek,2010-12-14,5.1
Richland Creek,2010-12-15,4.4
Richland Creek,2010-12-16,4.2
Richland Creek,2010-12-17,3.9
Richland Creek,2010-12-18,3.7
Richland Creek,2010-12-19,3.6
Richland Creek,2010-12-20,3.5
Richland Creek,2010-12-21,3.4
Richland Creek,2010-12-22,3.3
Richland Creek,2010-12-23,3.1
Richland Creek,2010-12-24,3.3
Richland Creek,2010-12-25,3
Richland Creek,2010-12-26,2.8
Richland Creek,2010-12-27,2.7
Richland Creek,2010-12-28,2.6
Richland Creek,2010-12-29,3.8
Richland Creek,2010-12-30,3.4
Richland Creek,2010-12-31,34
Richland Creek,2011-01-01,33
Richland Creek,2011-01-02,37
Richland Creek,2011-01-03,31
Richland Creek,2011-01-04,24
Richland Creek,2011-01-05,20
Richland Creek,2011-01-06,18
Richland Creek,2011-01-07,16
Richland Creek,2011-01-08,15
Richland Creek,2011-01-09,14
Richland Creek,2011-01-10,12
Richland Creek,2011-01-11,11
Richland Creek,2011-01-12,9.9
Richland Creek,2011-01-13,8.8
Richland Creek,2011-01-14,7.7
Richland Creek,2011-01-15,7.2
Richland Creek,2011-01-16,6.8
Richland Creek,2011-01-17,6.6
Richland Creek,2011-01-18,6.4
Richland Creek,2011-01-19,6.1
Richland Creek,2011-01-20,6
Richland Creek,2011-01-21,5
Richland Creek,2011-01-22,5
Richland Creek,2011-01-23,4.8
Richland Creek,2011-01-24,4.7
Richland Creek,2011-01-25,4.6
Richland Creek,2011-01-26,4.4
Richland Creek,2011-01-27,4.3
Richland Creek,2011-01-28,4.2
Richland Creek,2011-01-29,4.2
Richland Creek,2011-01-30,4.2
Richland Creek,2011-01-31,4.2
Richland Creek,2011-02-01,7.7
Richland Creek,2011-02-02,14
Richland Creek,2011-02-03,56
Richland Creek,2011-02-04,29
Richland Creek,2011-02-05,30
Richland Creek,2011-02-06,32
Richland Creek,2011-02-07,55
Richland Creek,2011-02-08,68
Richland Creek,2011-02-09,66
Richland Creek,2011-02-10,55
Richland Creek,2011-02-11,44
Richland Creek,2011-02-12,43
Richland Creek,2011-02-13,76
Richland Creek,2011-02-14,308
Richland Creek,2011-02-15,324
Richland Creek,2011-02-16,284
Richland Creek,2011-02-17,187
Richland Creek,2011-02-18,131
Richland Creek,2011-02-19,99
Richland Creek,2011-02-20,81
Richland Creek,2011-02-21,71
Richland Creek,2011-02-22,63
Richland Creek,2011-02-23,55
Richland Creek,2011-02-24,179
Richland Creek,2011-02-25,386
Richland Creek,2011-02-26,246
Richland Creek,2011-02-27,176
Richland Creek,2011-02-28,257
Richland Creek,2011-03-01,215
Richland Creek,2011-03-02,159
Richland Creek,2011-03-03,132
Richland Creek,2011-03-04,151
Richland Creek,2011-03-05,372
Richland Creek,2011-03-06,256
Richland Creek,2011-03-07,185
Richland Creek,2011-03-08,148
Richland Creek,2011-03-09,130
Richland Creek,2011-03-10,108
Richland Creek,2011-03-11,91
Richland Creek,2011-03-12,82
Richland Creek,2011-03-13,74
Richland Creek,2011-03-14,259
Richland Creek,2011-03-15,297
Richland Creek,2011-03-16,211
Richland Creek,2011-03-17,166
Richland Creek,2011-03-18,141
Richland Creek,2011-03-19,120
Richland Creek,2011-03-20,103
Richland Creek,2011-03-21,90
Richland Creek,2011-03-22,85
Richland Creek,2011-03-23,78
Richland Creek,2011-03-24,68
Richland Creek,2011-03-25,62
Richland Creek,2011-03-26,62
Richland Creek,2011-03-27,60
Richland Creek,2011-03-28,56
Richland Creek,2011-03-29,55
Richland Creek,2011-03-30,57
Richland Creek,2011-03-31,66
Richland Creek,2011-04-01,103
Richland Creek,2011-04-02,113
Richland Creek,2011-04-03,96
Richland Creek,2011-04-04,87
Richland Creek,2011-04-05,95
Richland Creek,2011-04-06,88
Richland Creek,2011-04-07,80
Richland Creek,2011-04-08,75
Richland Creek,2011-04-09,72
Richland Creek,2011-04-10,68
Richland Creek,2011-04-11,586
Richland Creek,2011-04-12,426
Richland Creek,2011-04-13,302
Richland Creek,2011-04-14,196
Richland Creek,2011-04-15,601
Richland Creek,2011-04-16,386
Richland Creek,2011-04-17,290
Richland Creek,2011-04-18,219
Richland Creek,2011-04-19,173
Richland Creek,2011-04-20,131
Richland Creek,2011-04-21,105
Richland Creek,2011-04-22,197
Richland Creek,2011-04-23,1050
Richland Creek,2011-04-24,13600
Richland Creek,2011-04-25,29300
Richland Creek,2011-04-26,9370
Richland Creek,2011-04-27,730
Richland Creek,2011-04-28,884
