"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"103",2011-08-04,186,0.104,-2.26336437984076,5.2257466737132
"104",2011-08-10,349,0.094,-2.36446049671213,5.85507192220243
"105",2011-08-17,282,0.102,-2.28278246569787,5.64190707093811
"106",2011-08-31,183,0.072,-2.63108915996608,5.20948615284142
"107",2011-09-07,145,0.075,-2.59026716544583,4.97673374242057
"108",2011-09-15,150,0.07,-2.65926003693278,5.01063529409626
"109",2011-09-19,860,0.348,-1.05555279920766,6.75693238924755
"110",2011-09-29,227,0.084,-2.47693848013882,5.4249500174814
"111",2011-10-05,170,0.082,-2.50103603171788,5.13579843705026
"112",2011-10-13,387,0.084,-2.47693848013882,5.95842469302978
"113",2011-10-27,198,0.067,-2.70306265959117,5.28826703069454
"114",2011-11-02,178,0.058,-2.84731226843572,5.18178355029209
"115",2011-11-09,6260,0.458,-0.780886094867952,8.74193546409414
"116",2011-11-16,552,0.09,-2.40794560865187,6.31354804627709
"117",2011-11-30,558,0.058,-2.84731226843572,6.32435896238131
"118",2011-12-07,686,0.062,-2.78062089393705,6.53087762772588
"119",2012-01-04,393,0.038,-3.27016911925575,5.97380961186926
"120",2012-01-11,393,0.038,-3.27016911925575,5.97380961186926
"121",2012-01-18,339,0.022,-3.81671282562382,5.82600010738045
"122",2012-01-26,2620,0.309,-1.17441400208439,7.87092959675514
"123",2012-02-01,613,0.054,-2.91877123241786,6.41836493593621
"124",2012-02-04,1940,0.258,-1.35479569406052,7.57044325205737
"125",2012-02-15,502,0.036,-3.32423634052603,6.21860011969173
"126",2012-02-29,362,0.032,-3.44201937618241,5.89164421182577
"127",2012-03-15,443,0.052,-2.95651156040071,6.09356977004514
"128",2012-03-20,2440,0.108,-2.22562405185792,7.79975331828725
"129",2012-03-22,5700,0.2585,-1.35285958503365,8.64822145382264
"130",2012-03-28,1050,0.074,-2.60369018577797,6.95654544315157
"131",2012-04-11,440,0.1,-2.30258509299405,6.08677472691231
"132",2012-04-16,829,0.15,-1.89711998488588,6.7202201551353
"133",2012-04-25,313,0.058,-2.84731226843572,5.74620319054015
"134",2012-05-02,466,0.089,-2.41911890925,6.14418563412565
"135",2012-05-09,250,0.092,-2.3859667019331,5.52146091786225
"136",2012-05-17,194,0.062,-2.78062089393705,5.26785815906333
"137",2012-05-23,164,0.066,-2.71810053695571,5.0998664278242
"138",2012-05-31,197,0.092,-2.3859667019331,5.28320372873799
"139",2012-06-13,162,0.076,-2.57702193869581,5.08759633523238
"140",2012-06-20,140,0.078,-2.55104645229255,4.9416424226093
"141",2012-06-28,122,0.071,-2.64507540194082,4.80402104473326
"142",2012-07-11,108,0.081,-2.5133061243097,4.68213122712422
"143",2012-07-18,94,0.076,-2.57702193869581,4.54329478227
"144",2012-07-25,76,0.076,-2.57702193869581,4.33073334028633
"145",2012-08-01,77,0.082,-2.50103603171788,4.34380542185368
