"","id","folds","span","const","id.1","folds.1","span.1","const.1","id.2","folds.2","span.2","const.2","id.3","folds.3","span.3","const.3","id.4","folds.4","span.4","const.4","id.5","folds.5","span.5","const.5","id.6","folds.6","span.6","const.6","REALID"
"76",26,"folds.6",0.65,"NO3",26,"folds.6",0.75,"TN",26,"folds.6",0.8,"SRP",26,"folds.6",0.6,"TP",26,"folds.6",0.45,"TSS",26,"folds.6",0.7,"Cl",26,"folds.6",0.55,"SO4",76
"77",27,"folds.6",0.5,"NO3",27,"folds.6",0.7,"TN",27,"folds.6",0.7,"SRP",27,"folds.6",0.75,"TP",27,"folds.6",0.3,"TSS",27,"folds.6",0.6,"Cl",27,"folds.6",0.6,"SO4",77
"78",28,"folds.6",0.5,"NO3",28,"folds.6",0.45,"TN",28,"folds.6",0.6,"SRP",28,"folds.6",0.25,"TP",28,"folds.6",0.25,"TSS",28,"folds.6",0.6,"Cl",28,"folds.6",0.7,"SO4",78
"79",29,"folds.6",0.75,"NO3",29,"folds.6",0.75,"TN",29,"folds.6",0.75,"SRP",29,"folds.6",0.5,"TP",29,"folds.6",0.5,"TSS",29,"folds.6",0.75,"Cl",29,"folds.6",0.45,"SO4",79
"80",30,"folds.6",0.5,"NO3",30,"folds.6",0.8,"TN",30,"folds.6",0.85,"SRP",30,"folds.6",0.4,"TP",30,"folds.6",0.3,"TSS",30,"folds.6",0.7,"Cl",30,"folds.6",0.5,"SO4",80
"81",31,"folds.6",0.45,"NO3",31,"folds.6",0.5,"TN",31,"folds.6",0.8,"SRP",31,"folds.6",0.55,"TP",31,"folds.6",0.6,"TSS",31,"folds.6",0.55,"Cl",31,"folds.6",0.5,"SO4",81
"82",32,"folds.6",0.4,"NO3",32,"folds.6",0.75,"TN",32,"folds.6",0.7,"SRP",32,"folds.6",0.4,"TP",32,"folds.6",0.4,"TSS",32,"folds.6",0.5,"Cl",32,"folds.6",0.45,"SO4",82
"83",33,"folds.6",0.35,"NO3",33,"folds.6",0.55,"TN",33,"folds.6",0.9,"SRP",33,"folds.6",0.55,"TP",33,"folds.6",0.2,"TSS",33,"folds.6",0.85,"Cl",33,"folds.6",0.35,"SO4",83
"84",34,"folds.6",0.5,"NO3",34,"folds.6",0.6,"TN",34,"folds.6",0.9,"SRP",34,"folds.6",0.55,"TP",34,"folds.6",0.3,"TSS",34,"folds.6",0.7,"Cl",34,"folds.6",0.6,"SO4",84
"85",35,"folds.6",0.5,"NO3",35,"folds.6",0.7,"TN",35,"folds.6",0.7,"SRP",35,"folds.6",0.5,"TP",35,"folds.6",0.35,"TSS",35,"folds.6",0.6,"Cl",35,"folds.6",0.5,"SO4",85
