id,folds,span,const
2,20,0.9,NO3
3,20,0.9,NO3
4,20,0.9,NO3
5,20,0.9,NO3
6,20,0.9,NO3
7,20,0.9,NO3
8,20,0.85,NO3
9,20,0.9,NO3
10,20,0.8,NO3
11,20,0.75,NO3
12,20,0.9,NO3
13,20,0.85,NO3
14,20,0.9,NO3
15,20,0.9,NO3
16,20,0.75,NO3
17,20,0.9,NO3
18,20,0.9,NO3
19,20,0.85,NO3
20,20,0.9,NO3
21,20,0.9,NO3
22,20,0.5,NO3
23,20,0.8,NO3
24,20,0.85,NO3
25,20,0.9,NO3
26,20,0.8,NO3
27,20,0.9,NO3
28,20,0.9,NO3
29,20,0.9,NO3
30,20,0.8,NO3
31,20,0.9,NO3
32,20,0.85,NO3
33,20,0.9,NO3
34,20,0.8,NO3
35,20,0.85,NO3
36,20,0.9,NO3
37,20,0.9,NO3
38,20,0.9,NO3
39,20,0.9,NO3
40,20,0.8,NO3
41,20,0.85,NO3
42,20,0.9,NO3
43,20,0.9,NO3
44,20,0.8,NO3
45,20,0.9,NO3
46,20,0.75,NO3
47,20,0.9,NO3
48,20,0.6,NO3
49,20,0.8,NO3
50,20,0.7,NO3
1,21,0.85,NO3
2,21,0.85,NO3
3,21,0.9,NO3
4,21,0.9,NO3
5,21,0.9,NO3
6,21,0.9,NO3
7,21,0.85,NO3
8,21,0.9,NO3
9,21,0.9,NO3
10,21,0.8,NO3
11,21,0.9,NO3
12,21,0.85,NO3
13,21,0.9,NO3
14,21,0.9,NO3
15,21,0.85,NO3
16,21,0.9,NO3
17,21,0.9,NO3
18,21,0.85,NO3
19,21,0.9,NO3
20,21,0.85,NO3
21,21,0.9,NO3
22,21,0.8,NO3
23,21,0.9,NO3
24,21,0.9,NO3
25,21,0.85,NO3
26,21,0.7,NO3
27,21,0.9,NO3
28,21,0.9,NO3
29,21,0.9,NO3
30,21,0.85,NO3
31,21,0.85,NO3
32,21,0.85,NO3
33,21,0.9,NO3
34,21,0.85,NO3
35,21,0.9,NO3
36,21,0.75,NO3
37,21,0.85,NO3
38,21,0.85,NO3
39,21,0.85,NO3
40,21,0.7,NO3
41,21,0.6,NO3
42,21,0.9,NO3
43,21,0.85,NO3
44,21,0.9,NO3
45,21,0.9,NO3
46,21,0.9,NO3
47,21,0.75,NO3
48,21,0.8,NO3
49,21,0.9,NO3
50,21,0.9,NO3
1,22,0.85,NO3
2,22,0.9,NO3
3,22,0.9,NO3
4,22,0.9,NO3
5,22,0.85,NO3
6,22,0.9,NO3
7,22,0.75,NO3
8,22,0.9,NO3
9,22,0.9,NO3
10,22,0.75,NO3
11,22,0.8,NO3
12,22,0.9,NO3
13,22,0.9,NO3
14,22,0.9,NO3
15,22,0.85,NO3
16,22,0.9,NO3
17,22,0.9,NO3
18,22,0.9,NO3
19,22,0.9,NO3
20,22,0.85,NO3
21,22,0.9,NO3
22,22,0.9,NO3
23,22,0.75,NO3
24,22,0.8,NO3
25,22,0.8,NO3
26,22,0.9,NO3
27,22,0.85,NO3
28,22,0.8,NO3
29,22,0.9,NO3
30,22,0.9,NO3
31,22,0.9,NO3
32,22,0.85,NO3
33,22,0.85,NO3
34,22,0.85,NO3
35,22,0.9,NO3
36,22,0.8,NO3
37,22,0.85,NO3
38,22,0.85,NO3
39,22,0.85,NO3
40,22,0.85,NO3
41,22,0.9,NO3
42,22,0.8,NO3
43,22,0.9,NO3
44,22,0.9,NO3
45,22,0.8,NO3
46,22,0.9,NO3
47,22,0.9,NO3
48,22,0.9,NO3
49,22,0.9,NO3
50,22,0.85,NO3
1,23,0.85,NO3
2,23,0.9,NO3
3,23,0.85,NO3
4,23,0.9,NO3
5,23,0.9,NO3
6,23,0.9,NO3
7,23,0.85,NO3
8,23,0.9,NO3
9,23,0.9,NO3
10,23,0.85,NO3
11,23,0.85,NO3
12,23,0.9,NO3
13,23,0.8,NO3
14,23,0.9,NO3
15,23,0.85,NO3
16,23,0.8,NO3
17,23,0.9,NO3
18,23,0.8,NO3
19,23,0.85,NO3
20,23,0.8,NO3
21,23,0.9,NO3
22,23,0.8,NO3
23,23,0.85,NO3
24,23,0.85,NO3
25,23,0.9,NO3
26,23,0.85,NO3
27,23,0.85,NO3
28,23,0.85,NO3
29,23,0.6,NO3
30,23,0.85,NO3
31,23,0.9,NO3
32,23,0.85,NO3
33,23,0.9,NO3
34,23,0.85,NO3
35,23,0.9,NO3
36,23,0.8,NO3
37,23,0.75,NO3
38,23,0.85,NO3
39,23,0.9,NO3
40,23,0.9,NO3
41,23,0.85,NO3
42,23,0.85,NO3
43,23,0.75,NO3
44,23,0.8,NO3
45,23,0.85,NO3
46,23,0.75,NO3
47,23,0.8,NO3
48,23,0.85,NO3
49,23,0.85,NO3
50,23,0.8,NO3
1,24,0.9,NO3
2,24,0.9,NO3
3,24,0.8,NO3
4,24,0.9,NO3
5,24,0.85,NO3
6,24,0.9,NO3
7,24,0.9,NO3
8,24,0.9,NO3
9,24,0.9,NO3
10,24,0.9,NO3
11,24,0.85,NO3
12,24,0.85,NO3
13,24,0.85,NO3
14,24,0.8,NO3
15,24,0.9,NO3
16,24,0.9,NO3
17,24,0.6,NO3
18,24,0.9,NO3
19,24,0.85,NO3
20,24,0.85,NO3
21,24,0.75,NO3
22,24,0.85,NO3
23,24,0.85,NO3
24,24,0.9,NO3
25,24,0.85,NO3
26,24,0.9,NO3
27,24,0.9,NO3
28,24,0.75,NO3
29,24,0.9,NO3
30,24,0.85,NO3
31,24,0.8,NO3
32,24,0.9,NO3
33,24,0.9,NO3
34,24,0.85,NO3
35,24,0.9,NO3
36,24,0.8,NO3
37,24,0.9,NO3
38,24,0.9,NO3
39,24,0.9,NO3
40,24,0.9,NO3
41,24,0.75,NO3
42,24,0.85,NO3
43,24,0.9,NO3
44,24,0.9,NO3
45,24,0.85,NO3
46,24,0.85,NO3
47,24,0.9,NO3
48,24,0.9,NO3
49,24,0.9,NO3
50,24,0.9,NO3
1,25,0.9,NO3
2,25,0.9,NO3
3,25,0.85,NO3
4,25,0.75,NO3
5,25,0.9,NO3
6,25,0.8,NO3
7,25,0.85,NO3
8,25,0.9,NO3
9,25,0.9,NO3
10,25,0.9,NO3
11,25,0.85,NO3
12,25,0.8,NO3
13,25,0.8,NO3
14,25,0.85,NO3
15,25,0.9,NO3
16,25,0.9,NO3
17,25,0.9,NO3
18,25,0.9,NO3
19,25,0.85,NO3
20,25,0.9,NO3
21,25,0.85,NO3
22,25,0.9,NO3
