"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"162",2013-01-30,24,0.02,-3.91202300542815,3.17805383034795
"163",2013-02-07,8.7,0.012,-4.42284862919414,2.16332302566054
"164",2013-02-13,9,0.014,-4.26869794936688,2.19722457733622
"165",2013-02-21,24,0.02,-3.91202300542815,3.17805383034795
"166",2013-02-28,14,0.01,-4.60517018598809,2.63905732961526
"167",2013-03-07,11,0.014,-4.26869794936688,2.39789527279837
"168",2013-03-11,102,0.042,-3.17008566069877,4.62497281328427
"169",2013-03-20,9.7,0.02,-3.91202300542815,2.27212588550934
"170",2013-03-28,9.6,0.018,-4.01738352108597,2.26176309847379
"171",2013-04-04,41,0.024,-3.72970144863419,3.71357206670431
"172",2013-04-18,1230,0.9,-0.105360515657826,7.11476944836646
"173",2013-04-25,78,0.042,-3.17008566069877,4.35670882668959
"174",2013-04-29,77,0.042,-3.17008566069877,4.34380542185368
"175",2013-05-09,133,0.04,-3.2188758248682,4.89034912822175
"176",2013-05-21,91,0.044,-3.12356564506388,4.51085950651685
"177",2013-05-31,129,0.086,-2.45340798272863,4.85981240436167
"178",2013-06-07,54,0.04,-3.2188758248682,3.98898404656427
"179",2013-06-13,34,0.04,-3.2188758248682,3.52636052461616
"180",2013-06-26,22,0.054,-2.91877123241786,3.09104245335832
"181",2013-07-10,12,0.041,-3.19418321227783,2.484906649788
"182",2013-07-17,17,0.04,-3.2188758248682,2.83321334405622
"183",2013-08-01,45,0.05,-2.99573227355399,3.80666248977032
"184",2013-08-08,637,0.534,-0.627359440021942,6.45676965557216
"185",2013-08-15,184,0.05,-2.99573227355399,5.21493575760899
"186",2013-08-21,65,0.038,-3.27016911925575,4.17438726989564
"187",2013-08-29,31,0.048,-3.03655426807425,3.43398720448515
"188",2013-09-05,24,0.052,-2.95651156040071,3.17805383034795
"189",2013-09-12,19,0.042,-3.17008566069877,2.94443897916644
"190",2013-09-19,13,0.034,-3.38139475436598,2.56494935746154
"191",2013-09-25,14,0.076,-2.57702193869581,2.63905732961526
"192",2013-10-03,12,0.04,-3.2188758248682,2.484906649788
