"","TSS.Date","TSS.Flow","TSS.concentrations.TSS","lnC","lnQ"
"70",2010-11-16,103,1.8,0.587786664902119,4.63472898822964
"71",2010-11-29,96,2.1,0.741937344729377,4.56434819146784
"72",2010-12-09,80,1.5,0.405465108108164,4.38202663467388
"73",2010-12-16,75,1.55,0.438254930931155,4.31748811353631
"74",2011-01-06,92,1.7,0.53062825106217,4.52178857704904
"75",2011-01-12,84,1.2,0.182321556793955,4.43081679884331
"76",2011-01-21,81,1.4,0.336472236621213,4.39444915467244
"77",2011-01-26,80,0.8,-0.22314355131421,4.38202663467388
"78",2011-02-06,65,2.9,1.06471073699243,4.17438726989564
"79",2011-02-12,72,4.9,1.58923520511658,4.27666611901606
"80",2011-02-15,142,5.1,1.62924053973028,4.95582705760126
"81",2011-02-24,120,26.9,3.29212628660779,4.78749174278205
"82",2011-02-28,139,50.3,3.91800507710569,4.93447393313069
"83",2011-03-08,100,0.3,-1.20397280432594,4.60517018598809
"84",2011-03-14,164,15.7,2.75366071235426,5.0998664278242
"85",2011-03-31,91,1.6,0.470003629245736,4.51085950651685
"86",2011-04-07,83,3.4,1.22377543162212,4.4188406077966
"87",2011-04-11,191,39.9,3.68637632389582,5.25227342804663
"88",2011-04-20,92,2.5,0.916290731874155,4.52178857704904
"89",2011-04-23,3960,340.7,5.83100232466692,8.28399930424853
"90",2011-04-25,15800,300,5.7037824746562,9.66776521901506
"91",2011-04-26,3260,116.1,4.75445188870385,8.08948247436075
"92",2011-05-11,228,4.3,1.45861502269952,5.42934562895444
"93",2011-05-18,174,1.5,0.405465108108164,5.15905529921453
"94",2011-05-23,6670,181.4,5.20070453768104,8.80537513890967
"95",2011-06-09,214,3.25,1.17865499634165,5.36597601502185
"96",2011-06-15,200,3.75,1.32175583998232,5.29831736654804
"97",2011-07-14,169,5.1,1.62924053973028,5.12989871492307
"98",2011-07-20,96,3.2,1.16315080980568,4.56434819146784
"99",2011-07-28,92,3.5,1.25276296849537,4.52178857704904
"100",2011-08-04,87,3.3,1.19392246847243,4.46590811865458
"101",2011-08-10,220,39.7,3.68135118769314,5.39362754635236
"102",2011-08-17,130,3.3,1.19392246847243,4.86753445045558
"103",2011-08-31,87,3.3,1.19392246847243,4.46590811865458
"104",2011-09-07,78,2,0.693147180559945,4.35670882668959
"105",2011-09-15,77,1.1,0.0953101798043249,4.34380542185368
"106",2011-09-19,203,9.2,2.21920348405499,5.31320597904179
"107",2011-09-29,101,2.3,0.832909122935104,4.61512051684126
"108",2011-10-05,83,1.1,0.0953101798043249,4.4188406077966
"109",2011-10-12,218,43.9,3.78191432008113,5.38449506278909
"110",2011-10-27,112,61.1,4.11251186617755,4.71849887129509
"111",2011-11-02,96,0.85,-0.162518929497775,4.56434819146784
"112",2011-11-08,2150,660.6,6.49314851295669,7.67322312112171
"113",2011-11-16,158,2.1,0.741937344729377,5.06259503302697
"114",2011-11-30,128,1.1,0.0953101798043249,4.85203026391962
"115",2011-12-07,134,2,0.693147180559945,4.89783979995091
"116",2012-01-04,102,1.2,0.182321556793955,4.62497281328427
"117",2012-01-12,96,1.1,0.0953101798043249,4.56434819146784
"118",2012-01-18,89,1.1,0.0953101798043249,4.48863636973214
"119",2012-01-25,343,94.5,4.5485998344997,5.83773044716594
"120",2012-02-01,119,2.2,0.78845736036427,4.77912349311153
"121",2012-02-08,137,2.5,0.916290731874155,4.91998092582813
"122",2012-02-15,124,1.9,0.641853886172395,4.82028156560504
"123",2012-02-29,101,2.7,0.993251773010283,4.61512051684126
"124",2012-03-15,95,2.3,0.832909122935104,4.55387689160054
"125",2012-03-20,707,51.7,3.94545778151438,6.56103066589657
"126",2012-03-28,192,3.9,1.3609765531356,5.25749537202778
"127",2012-04-11,146,3.2,1.16315080980568,4.98360662170834
"128",2012-04-15,206,86.5,4.46014441393783,5.32787616878958
"129",2012-04-25,115,2.9,1.06471073699243,4.74493212836325
"130",2012-04-30,164,48,3.87120101090789,5.0998664278242
"131",2012-05-09,98,3.7,1.30833281965018,4.58496747867057
"132",2012-05-17,83,3.5,1.25276296849537,4.4188406077966
"133",2012-05-23,75,3.8,1.33500106673234,4.31748811353631
"134",2012-05-31,97,5.1,1.62924053973028,4.57471097850338
"135",2012-06-06,97,3.5,1.25276296849537,4.57471097850338
"136",2012-06-13,76,2.7,0.993251773010283,4.33073334028633
"137",2012-06-20,108,4.1,1.41098697371026,4.68213122712422
"138",2012-06-28,55,3.3,1.19392246847243,4.00733318523247
"139",2012-07-11,58,2.6,0.955511445027436,4.06044301054642
"140",2012-07-18,55,3.1,1.1314021114911,4.00733318523247
"141",2012-07-25,53,2.4,0.8754687373539,3.97029191355212
"142",2012-08-01,61,3.1,1.1314021114911,4.11087386417331
"143",2012-08-16,61,4.3,1.45861502269952,4.11087386417331
"144",2012-08-22,53,2.9,1.06471073699243,3.97029191355212
"145",2012-08-27,361,40.75,3.70745583968687,5.88887795833288
"146",2012-09-06,78,5.8,1.75785791755237,4.35670882668959
"147",2012-09-12,80,2.7,0.993251773010283,4.38202663467388
"148",2012-09-27,80,2.3,0.832909122935104,4.38202663467388
"149",2012-10-03,62,2.2,0.78845736036427,4.12713438504509
"150",2012-10-10,58,1.4,0.336472236621213,4.06044301054642
"151",2012-10-12,256,152.3,5.02585225990112,5.54517744447956
"152",2012-10-16,115,1.9,0.641853886172395,4.74493212836325
"153",2012-10-25,80,1.4,0.336472236621213,4.38202663467388
"154",2012-11-01,70,1.1,0.0953101798043249,4.24849524204936
"155",2012-11-08,71,1.1,0.0953101798043249,4.26267987704132
"156",2012-11-15,76,0.9,-0.105360515657826,4.33073334028633
"157",2012-11-29,64,0.2,-1.6094379124341,4.15888308335967
"158",2012-12-06,93,1.2,0.182321556793955,4.53259949315326
"159",2012-12-13,68,2.88,1.05779029414785,4.21950770517611
"160",2013-01-03,81,0.6,-0.510825623765991,4.39444915467244
"161",2013-01-11,72,1.3,0.262364264467491,4.27666611901606
"162",2013-01-14,80,0.6,-0.510825623765991,4.38202663467388
"163",2013-01-24,68,1.5,0.405465108108164,4.21950770517611
"164",2013-01-30,504,991.9,6.89962229575195,6.22257626807137
"165",2013-02-07,88,1.35,0.300104592450338,4.47733681447821
"166",2013-02-13,97,1.6,0.470003629245736,4.57471097850338
"167",2013-02-21,108,2.3,0.832909122935104,4.68213122712422
"168",2013-02-21,108,124.1,4.82108769221056,4.68213122712422
"169",2013-02-28,99,2.3,0.832909122935104,4.59511985013459
"170",2013-03-07,80,2.3,0.832909122935104,4.38202663467388
"171",2013-03-10,765,46.1,3.8308129500026,6.63987583382654
"172",2013-03-20,118,2.1,0.741937344729377,4.77068462446567
"173",2013-03-28,104,1.9,0.641853886172395,4.64439089914137
"174",2013-04-04,143,1.4,0.336472236621213,4.96284463025991
"175",2013-04-18,3230,589.1,6.37859594852764,8.0802374162167
"176",2013-04-25,199,2.1,0.741937344729377,5.29330482472449
"177",2013-04-29,261,3.1,1.1314021114911,5.56452040732269
"178",2013-05-09,414,2.4,0.8754687373539,6.02586597382531
"179",2013-05-21,430,21.1,3.04927304048202,6.06378520868761
"180",2013-05-31,346,17.3,2.85070650150373,5.84643877505772
"181",2013-06-07,172,2.9,1.06471073699243,5.14749447681345
"182",2013-06-13,134,2.45,0.896088024556636,4.89783979995091
"183",2013-06-26,99,4.1,1.41098697371026,4.59511985013459
"184",2013-07-10,80,3.2,1.16315080980568,4.38202663467388
"185",2013-07-17,78,1,0,4.35670882668959
"186",2013-08-01,158,6.7,1.90210752639692,5.06259503302697
"187",2013-08-08,2100,706.4,6.56018164928975,7.64969262371151
"188",2013-08-15,283,4.9,1.58923520511658,5.64544689764324
"189",2013-08-21,182,1.9,0.641853886172395,5.2040066870768
"190",2013-08-29,140,1.8,0.587786664902119,4.9416424226093
"191",2013-09-05,123,2.4,0.8754687373539,4.81218435537242
"192",2013-09-12,114,2.1,0.741937344729377,4.7361984483945
"193",2013-09-19,106,1.4,0.336472236621213,4.66343909411207
"194",2013-09-20,367,57.5,4.0517849478033,5.90536184805457
"195",2013-10-03,118,1.7,0.53062825106217,4.77068462446567
"196",2013-10-05,553,1190.3,7.08196065517383,6.31535800152233
"197",2013-10-21,120,1.9,0.641853886172395,4.78749174278205
"198",2013-10-21,120,0.8,-0.22314355131421,4.78749174278205
"199",2013-10-30,235,1.3,0.262364264467491,5.45958551414416
"200",2013-11-07,198,1.7,0.53062825106217,5.28826703069454
"201",2013-11-14,118,1,0,4.77068462446567
"202",2013-11-21,143,3.5,1.25276296849537,4.96284463025991
"203",2013-12-03,88,1.4,0.336472236621213,4.47733681447821
"204",2013-12-13,100,1.3,0.262364264467491,4.60517018598809
"205",2013-12-20,138,2.1,0.741937344729377,4.92725368515721
"206",2014-01-08,112,3.2,1.16315080980568,4.71849887129509
"207",2014-01-10,260,79.8,4.37952350445576,5.56068163101553
"208",2014-01-23,118,0.466666667,-0.762140051332611,4.77068462446567
"209",2014-01-29,105,1.8,0.587786664902119,4.65396035015752
"210",2014-02-06,95,1.8,0.587786664902119,4.55387689160054
"211",2014-02-13,93,2.9,1.06471073699243,4.53259949315326
"212",2014-02-20,92,2.5,0.916290731874155,4.52178857704904
"213",2014-02-26,84,1.6,0.470003629245736,4.43081679884331
"214",2014-03-06,99,3,1.09861228866811,4.59511985013459
"215",2014-03-13,93,2.1,0.741937344729377,4.53259949315326
"216",2014-03-16,598,60.5,4.1026433650368,6.39359075395063
"217",2014-03-28,181,2.9,1.06471073699243,5.19849703126583
"218",2014-04-03,164,4.5,1.50407739677627,5.0998664278242
"219",2014-04-08,167,1.6,0.470003629245736,5.11799381241676
"220",2014-04-15,139,0.5,-0.693147180559945,4.93447393313069
"221",2014-04-24,122,1.75,0.559615787935423,4.80402104473326
"222",2014-04-29,118,2.9,1.06471073699243,4.77068462446567
"223",2014-05-08,293,656.6,6.48707500506749,5.68017260901707
"224",2014-05-13,429,28.8,3.3603753871419,6.06145691892802
"225",2014-05-15,214,5,1.6094379124341,5.36597601502185
"226",2014-05-21,134,3.9,1.3609765531356,4.89783979995091
"227",2014-05-29,128,4.9,1.58923520511658,4.85203026391962
"228",2014-06-03,176,11.3,2.42480272571829,5.17048399503815
"229",2014-06-16,146,7.3,1.98787434815435,4.98360662170834
"230",2014-07-02,118,4.3,1.45861502269952,4.77068462446567
"231",2014-07-07,94,3.2,1.16315080980568,4.54329478227
"232",2014-07-22,84,3.2,1.16315080980568,4.43081679884331
"233",2014-07-31,163,9.9,2.29253475714054,5.09375020080676
"234",2014-08-06,89,3.05,1.11514159061932,4.48863636973214
"235",2014-08-13,91,2.3,0.832909122935104,4.51085950651685
"236",2014-08-21,82,3.5,1.25276296849537,4.40671924726425
"237",2014-08-28,73,3.4,1.22377543162212,4.29045944114839
"238",2014-09-02,253,162.1,5.08821342874163,5.53338948872752
"239",2014-09-06,127,13.6,2.61006979274201,4.84418708645859
"240",2014-09-11,108,3.5,1.25276296849537,4.68213122712422
"241",2014-09-17,140,26.2,3.26575941076705,4.9416424226093
"242",2014-09-24,119,1.1,0.0953101798043249,4.77912349311153
"243",2014-10-01,104,1.7,0.53062825106217,4.64439089914137
"244",2014-10-09,110,3.1,1.1314021114911,4.70048036579242
"245",2014-10-10,1500,590.6,6.38113896930982,7.3132203870903
"246",2014-10-13,1470,401.5,5.99520753338682,7.29301767977278
"247",2014-10-23,132,2.1,0.741937344729377,4.88280192258637
"248",2014-10-29,114,1.5,0.405465108108164,4.7361984483945
"249",2014-11-06,133,1.9,0.641853886172395,4.89034912822175
